step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.7401571497321129,728.895761,85.0,26349.25,32760.0,125.996,124688.0,3.4635555555555555e-05,0.0013854222222222223,3.4635555555555555e-05,0.0013854222222222223,,,,,,,,,,
2,1.3738242164254189,631.325699,89.0,29493.25,32760.0,198.88,119284.0,3.313444444444444e-05,0.0013253777777777777,6.777e-05,0.0027108,,,,,,,,,,
3,2.0082130040973425,632.243993,98.0,29493.25,32760.0,199.65,138588.0,3.849666666666667e-05,0.0015398666666666667,0.00010626666666666666,0.0042506666666666665,,,,,,,,,,
4,2.6501737739890814,635.619138,100.0,29493.25,32760.0,201.349,120031.0,3.334194444444444e-05,0.0013336777777777776,0.0001396086111111111,0.0055843444444444446,,,,,,,,,,
5,3.286317817866802,631.738995,100.0,29493.25,32760.0,197.93,136660.0,3.7961111111111114e-05,0.0015184444444444447,0.00017756972222222222,0.007102788888888889,,,,,,,,,,
6,3.920103596523404,631.790076,89.0,29493.25,32760.0,200.889,123528.0,3.4313333333333336e-05,0.0013725333333333334,0.00021188305555555555,0.008475322222222222,,,,,,,,,,
7,4.554734278470278,632.441496,88.0,29493.25,32760.0,202.028,118589.0,3.294138888888889e-05,0.0013176555555555556,0.00024482444444444445,0.009792977777777778,,,,,,,,,,
8,5.18814123980701,631.198156,93.0,29493.25,32760.0,198.96,137711.0,3.825305555555555e-05,0.001530122222222222,0.0002830775,0.0113231,,,,,,,,,,
9,5.825269451364875,631.542572,100.0,29493.25,32760.0,202.225,123192.0,3.422e-05,0.0013688,0.00031729750000000003,0.012691899999999999,,,,,,,,,,
10,6.458880975842476,631.357379,100.0,29493.25,32760.0,202.526,117957.0,3.276583333333333e-05,0.0013106333333333332,0.00035006333333333333,0.014002533333333332,,,,,,,,,,
11,7.093615250661969,632.402866,82.0,29493.25,32760.0,198.037,137792.0,3.8275555555555554e-05,0.0015310222222222221,0.0003883388888888889,0.015533555555555554,,,,,,,,,,
12,7.726910799741745,631.221007,88.0,29493.25,32760.0,202.46,122862.0,3.412833333333334e-05,0.0013651333333333335,0.0004224672222222222,0.016898688888888888,,,,,,,,,,
13,8.364100443199277,631.112695,88.0,29493.25,32760.0,203.719,119990.0,3.333055555555555e-05,0.0013332222222222222,0.00045579777777777776,0.01823191111111111,,,,,,,,,,
14,8.99845189973712,632.160961,96.0,29493.25,32760.0,199.415,137601.0,3.82225e-05,0.0015289000000000001,0.0004940202777777777,0.01976081111111111,,,,,,,,,,
15,9.633128922432661,632.234333,100.0,29493.25,32760.0,201.593,121323.0,3.3700833333333334e-05,0.0013480333333333334,0.0005277211111111111,0.02110884444444444,,,,,,,,,,
16,10.266791816800833,631.467121,100.0,29493.25,32760.0,204.277,120533.0,3.348138888888889e-05,0.0013392555555555557,0.0005612025,0.0224481,,,,,,,,,,
17,10.903291840106249,631.241647,85.0,29493.25,32760.0,200.861,139849.0,3.8846944444444445e-05,0.001553877777777778,0.0006000494444444444,0.024001977777777777,,,,,,,,,,
18,11.53629383444786,630.861061,89.0,29493.25,32760.0,201.959,120138.0,3.3371666666666664e-05,0.0013348666666666666,0.0006334211111111111,0.025336844444444444,,,,,,,,,,
19,12.170070052146912,631.593653,88.0,29493.25,32760.0,203.757,120180.0,3.3383333333333336e-05,0.0013353333333333333,0.0006668044444444445,0.026672177777777778,,,,,,,,,,
20,12.80320255085826,630.946003,98.0,29493.25,32760.0,201.367,140260.0,3.896111111111111e-05,0.0015584444444444443,0.0007057655555555556,0.028230622222222224,,,,,,,,,,
