elapsed_sec,gpu_util_mean,gpu_util_std,gpu_mem_used_mean,gpu_mem_used_std,proc_cpu_percent_mean,proc_cpu_percent_std
0.0,89.66666666666667,8.962886439832502,26349.25,0.0,102.46666666666667,0.56862407030773
1.0,90.66666666666667,3.7859388972001824,29493.25,0.0,99.26666666666667,0.6350852961085851
2.0,96.5,4.8218253804964775,29493.25,0.0,100.53333333333333,0.23629078131263304
3.0,90.16666666666667,8.60716755578357,29493.25,0.0,99.88333333333334,0.20207259421636573
4.0,88.66666666666667,4.041451884327381,29493.25,0.0,100.06666666666666,0.05773502691895929
5.0,96.5,5.220153254455275,29493.25,0.0,99.76666666666667,0.4481443219916242
6.0,88.33333333333333,10.408329997330663,29493.25,0.0,100.5,0.9539392014169406
7.0,90.33333333333333,2.0207259421636903,29493.25,0.0,100.05,0.8261355820929183
8.0,95.33333333333333,6.429100507328637,29493.25,0.0,100.03333333333333,0.05773502691895929
9.0,96.33333333333333,3.7527767497325675,29493.25,0.0,100.0,0.7999999999999972
10.0,90.33333333333333,2.0207259421636903,29493.25,0.0,100.56666666666666,0.4907477288111786
11.0,95.33333333333333,6.429100507328637,29493.25,0.0,98.46666666666667,0.05773502691895929
12.0,96.5,3.5,29493.25,0.0,100.53333333333333,0.4193248541803049
13.0,92.33333333333333,6.658328118479393,29493.25,0.0,100.1,0.0
14.0,92.16666666666667,5.131601439446884,29493.25,0.0,100.01666666666667,0.7505553499465134
15.0,97.33333333333333,4.618802153517006,29493.25,0.0,100.06666666666666,0.05773502691895929
16.0,93.66666666666667,6.788470618138767,29493.25,0.0,99.73333333333333,0.461880215351699
17.0,88.33333333333333,3.5118845842842465,29493.25,0.0,101.13333333333333,0.8962886439832528
18.0,96.16666666666667,5.392896562454479,29493.25,0.0,99.89999999999999,0.1732050807568943
19.0,93.5,6.7638746292343415,29493.25,0.0,99.73333333333333,0.4193248541803012
20.0,88.33333333333333,3.5118845842842465,29493.25,0.0,100.26666666666667,0.3785938897200211
21.0,95.33333333333333,5.033222956847166,29493.25,0.0,99.91666666666667,0.15275252316519375
22.0,94.33333333333333,9.814954576223638,29493.25,0.0,101.0,1.1135528725660062
23.0,88.5,3.774917217635375,29493.25,0.0,99.91666666666667,0.17559422921420909
24.0,91.0,5.196152422706632,29493.25,0.0,100.1,0.1732050807568861
25.0,98.33333333333333,2.0816659994661326,29493.25,0.0,100.15,0.25980762113533323
26.0,91.5,3.122498999199199,29493.25,0.0,100.01666666666667,0.14433756729740643
