step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7543082647025585,742.92784,265.509203,375.299965,101.972728,-1e-06,12.092621803283691
2,1.3915305137634277,634.085233,180.859391,356.332972,96.075117,-1e-06,12.059185981750488
3,2.027881294488907,633.456643,180.879911,356.093477,95.756621,-1e-06,12.063668251037598
4,2.6671744100749493,636.233611,180.79986,358.811034,95.826403,-1e-06,12.085233688354492
5,3.3036041129380465,633.545134,180.78206,355.999575,96.019127,-1e-06,12.0717134475708
6,3.9397675320506096,633.191988,180.894492,355.804731,95.745413,-1e-06,12.091985702514648
7,4.576868027448654,632.839852,180.899782,355.413565,95.747882,-1e-06,12.092004776000977
8,5.217170609161258,633.116558,180.846721,355.822742,95.6274,-1e-06,12.101982116699219
9,5.858902122825384,635.168292,181.015694,355.07017,98.177923,-1e-06,12.174230575561523
10,6.496769702062011,633.032175,180.931783,355.450075,95.738672,-1e-06,12.184310913085938
11,7.136036973446608,632.638629,180.76336,355.283563,95.812333,-1e-06,12.202836036682129
12,7.775786155834794,632.845203,180.906212,355.181011,95.864963,-1e-06,12.205971717834473
13,8.415006687864661,632.265303,180.939252,355.026748,95.521608,-1e-06,12.251502990722656
14,9.056130642071366,633.500963,181.049655,355.72522,95.955246,-1e-06,12.265954971313477
15,9.695094667375088,632.458535,180.972664,355.154221,95.575489,-1e-06,12.269111633300781
16,10.335326667875051,632.780362,181.008644,355.322244,95.671301,-1e-06,12.282647132873535
17,10.974492078647017,632.392045,180.895002,355.14154,95.58022,-1e-06,12.430209159851074
18,11.615107106044888,633.24087,180.962124,354.976078,96.529195,-1e-06,12.519309997558594
19,12.254387278109789,632.512097,180.892771,355.179101,95.677901,-1e-06,12.545205116271973
20,12.894351482391357,632.905394,180.688038,355.510736,95.954326,-1e-06,12.552787780761719
21,13.534294486045837,632.645959,180.905993,355.324283,95.660901,-1e-06,12.619978904724121
22,14.174878060817719,633.87939,180.880012,355.840913,96.136618,-1e-06,12.620742797851562
23,14.813152307644486,632.257762,181.042734,354.929167,95.446157,-1e-06,12.717415809631348
24,15.452744035050273,632.11876,180.907033,354.644251,95.785713,-1e-06,12.797627449035645
25,16.09258968755603,632.298644,180.77238,354.860086,95.874724,-1e-06,12.876842498779297
26,16.73322062380612,632.7594,180.80911,355.162561,96.013216,-1e-06,12.898052215576172
27,17.371725963428617,631.629252,180.76775,354.655601,95.450727,-1e-06,12.936939239501953
28,18.011544905602932,632.018668,180.790161,354.734933,95.726052,-1e-06,12.979162216186523
29,18.65128667652607,631.904466,180.689708,354.938637,95.528268,-1e-06,13.01132583618164
30,19.29117541015148,632.043128,180.923712,354.728463,95.6064,-1e-06,13.002954483032227
31,19.93129386752844,631.923177,180.810071,354.790544,95.562229,-1e-06,12.986099243164062
32,20.571486175060272,632.538347,180.900552,354.652892,96.206099,-1e-06,13.04404067993164
33,21.21076891757548,631.789404,180.970764,354.480689,95.57138,-1e-06,13.047865867614746
34,21.85122969187796,632.657969,180.864131,355.016128,95.966396,-1e-06,13.066367149353027
35,22.490654366090894,632.075269,180.970894,354.280745,96.079428,-1e-06,13.069616317749023
36,23.13087832555175,632.241162,180.813711,354.707953,95.896845,-1e-06,13.050500869750977
37,23.770337531343102,631.851505,181.086195,354.476839,95.548609,-1e-06,13.036299705505371
38,24.410223534330726,632.452107,180.874412,354.987247,95.769493,-1e-06,13.086995124816895
39,25.049742991104722,631.960337,180.920993,354.855065,95.427237,-1e-06,13.04028606414795
40,25.690559040755033,633.038035,180.835221,354.509159,96.729819,-1e-06,13.041692733764648
41,26.33013212867081,632.232833,180.956033,354.622051,95.790643,-1e-06,13.007453918457031
42,26.968878462910652,631.770584,180.895122,354.48068,95.6394,-1e-06,13.056282043457031
43,27.608585081994534,631.871905,180.918632,354.479989,95.68798,-1e-06,13.029557228088379
44,28.248110918328166,631.656672,180.848312,354.459918,95.58467,-1e-06,13.035958290100098
45,28.888111235573888,632.05202,180.79894,354.384768,95.720751,-1e-06,13.001143455505371
46,29.528427494689822,632.398935,180.970783,354.468319,96.187739,-1e-06,13.032605171203613
47,30.167248589918017,631.177684,180.936993,354.059732,95.415496,-1e-06,13.034549713134766
48,30.802394531667233,632.258362,180.857901,355.024628,95.607329,-1e-06,12.992006301879883
49,31.438232446089387,632.653769,180.979133,354.968817,95.966555,-1e-06,13.011756896972656
50,32.07401425950229,632.857783,181.302829,354.667982,96.124288,-1e-06,13.0043306350708
51,32.709043968468904,631.968657,180.943163,354.317756,95.915845,-1e-06,13.02322006225586
52,33.346937987953424,631.809215,181.027085,353.98353,96.014077,-1e-06,13.00936222076416
53,33.987036135047674,631.560471,180.983884,354.180924,95.6175,-1e-06,13.012121200561523
54,34.62696716748178,631.997638,181.020544,353.944931,96.25335,-1e-06,13.043706893920898
55,35.26570671238005,631.181814,181.011283,354.068932,95.348385,-1e-06,12.980684280395508
56,35.90101105719805,632.336894,180.987474,354.581741,95.946166,-1e-06,13.036256790161133
57,36.53630204126239,631.946307,181.284548,354.403338,95.513318,-1e-06,13.042376518249512
58,37.17065702006221,631.393987,180.835151,354.227654,95.56636,-1e-06,13.00245475769043
59,37.80560591816902,630.98973,181.026104,353.685245,95.514769,-1e-06,12.995951652526855
60,38.444523725658655,631.160954,180.877941,353.745306,95.783263,-1e-06,13.012730598449707
