batch_size,backward_ms_mean,backward_ms_std,backward_share_mean,backward_share_std,energy_per_sample_mwh_mean,energy_per_sample_mwh_std,energy_per_step_wh_mean,energy_per_step_wh_std,forward_ms_mean,forward_ms_std,forward_share_mean,forward_share_std,gpu_mem_used_mib_mean_mean,gpu_mem_used_mib_mean_std,gpu_power_w_mean_mean,gpu_power_w_mean_std,gpu_util_mean_mean,gpu_util_mean_std,optimizer_share_mean,optimizer_share_std,optimizer_step_ms_mean,optimizer_step_ms_std,proc_cpu_percent_mean_mean,proc_cpu_percent_mean_std,samples_per_sec_mean,samples_per_sec_std,step_ms_mean,step_ms_std,steps_per_sec_mean,steps_per_sec_std,total_energy_kwh_mean,total_energy_kwh_std
4,105.22061660964913,0.020336746973599832,0.42970896546144055,0.00022904852055934168,3.0062787448221253,0.004119621373015223,0.012025114979288501,1.6478485492061348e-05,42.9892662436952,0.030474813132642487,0.17556321458429705,7.691280279905638e-05,11384.48894348894,0.00957521945116351,174.7474451289525,0.05478201717563812,83.29127121774178,0.057705304884572484,0.39166541130202154,0.00024393047611087488,95.90511391639251,0.09378716125254737,100.07176233720351,0.006415023234641613,16.202369103784655,0.0015124163249712963,244.86487598163376,0.11149989806021036,4.050592275946164,0.0003781040812428241,0.014622539814814818,2.003783835834696e-05
8,184.75152426845108,0.08426718047139291,0.5093293230866419,9.150915847716522e-05,2.419353541497703,0.0006321103599156495,0.019354828331981627,5.056882879325819e-06,81.45431355961065,0.030921676594732866,0.22455605922338379,0.00011134174157622491,17673.595498783456,0.0,192.68818004866174,0.07866558560764879,91.8450932684509,0.11730253113880874,0.2640074551888051,9.121160182122338e-05,95.76471493795621,0.03732004070136309,100.06942416869431,0.004160038476327701,21.906526158687804,0.006795593149865455,362.7348942550687,0.10028374612823114,2.7383157698359755,0.0008494491437331819,0.015909668888888895,4.156757726806394e-06
16,351.9545487999999,0.09607679225507879,0.5598215236099513,0.00010239162129231121,2.205261159844056,0.0004876949042306878,0.03528417855750489,7.803118467692985e-06,180.24627373614035,0.03272738177481107,0.28670107460547106,9.238730017485276e-05,29486.63105263158,0.0,202.82794596491223,0.07808216467457647,93.29192982456142,0.11573842574888858,0.15223201342032938,0.0001416538240056841,95.70686161052635,0.11915050688543671,100.0614736842105,0.005534079759235536,25.28984231822311,0.008056700290837998,628.6906477031583,0.2035045200615436,1.5806151448889443,0.0005035437681773749,0.016759984814814822,3.7064812721542356e-06
