step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.3877538777887821,360.666356,76.0,8637.25,32760.0,61.334,53674.0,1.4909444444444444e-05,0.0005963777777777778,1.4909444444444444e-05,0.0005963777777777778,,,,,,,,,,
4,1.1333862133324146,247.132047,85.0,11391.25,32760.0,159.034,122529.0,3.403583333333333e-05,0.0013614333333333332,4.8945277777777776e-05,0.001957811111111111,,,,,,,,,,
7,1.8731579780578613,245.058491,82.0,11391.25,32760.0,177.97,127655.0,3.545972222222222e-05,0.0014183888888888887,8.440499999999999e-05,0.0033761999999999998,,,,,,,,,,
10,2.6157367695122957,244.770656,88.0,11391.25,32760.0,173.995,138788.0,3.8552222222222224e-05,0.001542088888888889,0.0001229572222222222,0.0049182888888888885,,,,,,,,,,
13,3.3561980668455362,245.884226,79.0,11391.25,32760.0,175.972,121294.0,3.369277777777778e-05,0.0013477111111111111,0.00015664999999999999,0.006266,,,,,,,,,,
16,4.09882415831089,248.824007,87.0,11391.25,32760.0,172.257,135936.0,3.776e-05,0.0015103999999999999,0.00019440999999999998,0.007776399999999999,,,,,,,,,,
19,4.8437867145985365,245.498909,83.0,11391.25,32760.0,174.24,120263.0,3.340638888888889e-05,0.0013362555555555557,0.00022781638888888885,0.009112655555555555,,,,,,,,,,
22,5.5848500691354275,245.324726,81.0,11391.25,32760.0,172.185,139721.0,3.881138888888889e-05,0.0015524555555555557,0.00026662777777777775,0.010665111111111111,,,,,,,,,,
25,6.324635272845626,246.616708,87.0,11391.25,32760.0,174.9,124663.0,3.462861111111111e-05,0.0013851444444444444,0.0003012563888888889,0.012050255555555556,,,,,,,,,,
28,7.063482230529189,245.547189,79.0,11391.25,32760.0,175.862,125129.0,3.475805555555555e-05,0.0013903222222222222,0.00033601444444444445,0.013440577777777778,,,,,,,,,,
31,7.802886197343469,245.127352,86.0,11391.25,32760.0,173.276,137344.0,3.815111111111111e-05,0.0015260444444444444,0.00037416555555555553,0.014966622222222222,,,,,,,,,,
34,8.54373336955905,245.134992,81.0,11391.25,32760.0,175.879,120525.0,3.347916666666667e-05,0.0013391666666666669,0.0004076447222222222,0.016305788888888888,,,,,,,,,,
37,9.281579470261931,246.190581,84.0,11391.25,32760.0,173.698,142099.0,3.9471944444444446e-05,0.0015788777777777777,0.00044711666666666665,0.017884666666666667,,,,,,,,,,
40,10.022477142512798,246.006917,88.0,11391.25,32760.0,173.285,124081.0,3.446694444444444e-05,0.0013786777777777778,0.0004815836111111111,0.019263344444444445,,,,,,,,,,
43,10.76289870776236,245.467288,79.0,11391.25,32760.0,174.881,124748.0,3.4652222222222225e-05,0.0013860888888888889,0.0005162358333333333,0.020649433333333335,,,,,,,,,,
46,11.503334553912282,245.358007,89.0,11391.25,32760.0,172.604,136468.0,3.790777777777778e-05,0.0015163111111111112,0.000554143611111111,0.022165744444444448,,,,,,,,,,
49,12.242786791175604,246.535017,82.0,11391.25,32760.0,174.962,120187.0,3.3385277777777776e-05,0.001335411111111111,0.0005875288888888888,0.02350115555555556,,,,,,,,,,
52,12.981490977108479,245.165104,81.0,11391.25,32760.0,172.209,139746.0,3.8818333333333334e-05,0.0015527333333333333,0.0006263472222222221,0.025053888888888893,,,,,,,,,,
55,13.721714718267322,245.672401,87.0,11391.25,32760.0,174.736,124624.0,3.4617777777777775e-05,0.001384711111111111,0.0006609649999999999,0.026438600000000003,,,,,,,,,,
58,14.460683427751064,244.814357,79.0,11391.25,32760.0,176.278,125349.0,3.481916666666667e-05,0.0013927666666666667,0.0006957841666666665,0.02783136666666667,,,,,,,,,,
61,15.200821567326784,246.252572,86.0,11391.25,32760.0,173.495,137231.0,3.8119722222222225e-05,0.001524788888888889,0.0007339038888888888,0.029356155555555558,,,,,,,,,,
64,15.938938681036234,245.210754,82.0,11391.25,32760.0,175.647,121013.0,3.361472222222222e-05,0.0013445888888888888,0.000767518611111111,0.03070074444444445,,,,,,,,,,
67,16.679638421162963,245.311496,84.0,11391.25,32760.0,171.785,139399.0,3.872194444444444e-05,0.0015488777777777777,0.0008062405555555554,0.032249622222222225,,,,,,,,,,
70,17.42007495649159,245.317565,88.0,11391.25,32760.0,173.584,124132.0,3.448111111111111e-05,0.0013792444444444445,0.0008407216666666665,0.03362886666666667,,,,,,,,,,
73,18.160149155184627,246.076099,79.0,11391.25,32760.0,175.0,124557.0,3.4599166666666666e-05,0.0013839666666666667,0.0008753208333333332,0.03501283333333333,,,,,,,,,,
76,18.899577103555202,246.278673,89.0,11391.25,32760.0,172.406,136350.0,3.7875e-05,0.0015149999999999999,0.0009131958333333332,0.036527833333333336,,,,,,,,,,
79,19.639001190662384,245.602751,83.0,11391.25,32760.0,175.382,120843.0,3.35675e-05,0.0013427,0.0009467633333333333,0.03787053333333334,,,,,,,,,,
82,20.378318997099996,245.261565,81.0,11391.25,32760.0,171.825,139473.0,3.87425e-05,0.0015496999999999998,0.0009855058333333333,0.03942023333333334,,,,,,,,,,
85,21.119045106694102,245.962597,87.0,11391.25,32760.0,173.181,123792.0,3.438666666666667e-05,0.0013754666666666666,0.0010198925,0.040795700000000004,,,,,,,,,,
88,21.8586155064404,245.697952,79.0,11391.25,32760.0,174.735,124194.0,3.4498333333333335e-05,0.0013799333333333334,0.0010543908333333334,0.04217563333333334,,,,,,,,,,
91,22.597631476819515,245.454648,86.0,11391.25,32760.0,172.184,136438.0,3.789944444444445e-05,0.001515977777777778,0.0010922902777777779,0.04369161111111111,,,,,,,,,,
94,23.337765717878938,244.525062,82.0,11391.25,32760.0,175.512,120897.0,3.35825e-05,0.0013433,0.001125872777777778,0.04503491111111111,,,,,,,,,,
97,24.077842516824603,246.358564,84.0,11391.25,32760.0,172.249,139983.0,3.888416666666667e-05,0.0015553666666666668,0.0011647569444444446,0.04659027777777778,,,,,,,,,,
100,24.816758995875716,245.130632,88.0,11391.25,32760.0,173.725,124225.0,3.450694444444444e-05,0.0013802777777777776,0.001199263888888889,0.04797055555555556,,,,,,,,,,
103,25.556465258821845,245.099961,79.0,11391.25,32760.0,174.832,124346.0,3.454055555555556e-05,0.0013816222222222223,0.0012338044444444446,0.049352177777777784,,,,,,,,,,
