step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.4922551065683365,482.647632,85.0,14535.25,32760.0,84.692,75982.0,2.110611111111111e-05,0.0008442444444444444,2.110611111111111e-05,0.0008442444444444444,5070.90673828125,13746.0,15343.3515625,515475.12890625,0.6,2393.43359375,27444.67578125,103.3,,
3,1.2284347917884588,365.440127,88.0,17681.25,32760.0,187.297,135581.0,3.766138888888889e-05,0.0015064555555555556,5.8767499999999996e-05,0.0023507,5070.91455078125,16892.0,15343.58203125,515475.12890625,0.5,2394.4921875,30644.67578125,100.1,,
5,1.9674078412353992,365.140341,90.0,17681.25,32760.0,191.993,148037.0,4.112138888888889e-05,0.0016448555555555555,9.988888888888889e-05,0.003995555555555555,5070.91455078125,16892.0,15343.58203125,515475.12890625,0.5,2394.73046875,30644.67578125,99.5,,
7,2.7013245970010757,365.096621,100.0,17681.25,32760.0,192.7,135682.0,3.768944444444445e-05,0.001507577777777778,0.00013757833333333334,0.0055031333333333335,5070.91455078125,16892.0,15343.828125,515475.12890625,0.5,2394.7734375,30644.67578125,102.2,,
9,3.435026738792658,365.319275,88.0,17681.25,32760.0,192.43,135887.0,3.7746388888888886e-05,0.0015098555555555554,0.00017532472222222222,0.007012988888888889,5070.91455078125,16892.0,15343.828125,515475.12890625,0.5,2394.7734375,30644.67578125,99.5,,
11,4.169937331229448,365.790902,80.0,17681.25,32760.0,192.238,148257.0,4.11825e-05,0.0016473,0.0002165072222222222,0.008660288888888888,5070.91455078125,16892.0,15343.82421875,515475.12890625,0.5,2394.87890625,30644.67578125,98.8,,
13,4.908048328012228,365.202722,100.0,17681.25,32760.0,192.144,134412.0,3.7336666666666664e-05,0.0014934666666666665,0.0002538438888888889,0.010153755555555555,5070.91455078125,16892.0,15343.78515625,515475.12890625,0.5,2394.9296875,30644.67578125,101.5,,
15,5.646978998556733,365.328655,88.0,17681.25,32760.0,192.388,135888.0,3.774666666666667e-05,0.0015098666666666666,0.00029159055555555554,0.011663622222222222,5070.91455078125,16892.0,15343.78515625,515475.12890625,0.7,2394.9609375,30644.67578125,100.1,,
17,6.388209469616413,365.145881,85.0,17681.25,32760.0,192.214,149103.0,4.14175e-05,0.0016567,0.0003330080555555555,0.013320322222222222,5070.91455078125,16892.0,15344.76171875,515475.12890625,0.6,2395.01171875,30644.67578125,98.6,,
19,7.126663761213422,366.021316,99.0,17681.25,32760.0,192.104,135693.0,3.76925e-05,0.0015076999999999998,0.0003707005555555555,0.014828022222222223,5070.91455078125,16892.0,15345.14453125,515475.12890625,0.5,2395.06640625,30644.67578125,100.1,,
