step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.5148134734481573,497.430586,79.0,14535.25,32760.0,84.656,78772.0,2.1881111111111112e-05,0.0008752444444444444,2.1881111111111112e-05,0.0008752444444444444,,,,,,,,,,
3,1.2498974315822124,367.949326,100.0,17681.25,32760.0,188.367,132208.0,3.6724444444444446e-05,0.0014689777777777777,5.860555555555556e-05,0.0023442222222222224,,,,,,,,,,
5,1.9814990814775229,364.507107,88.0,17681.25,32760.0,192.15,135918.0,3.7755e-05,0.0015102,9.636055555555556e-05,0.003854422222222222,,,,,,,,,,
7,2.7162098437547684,364.195483,84.0,17681.25,32760.0,192.714,149119.0,4.1421944444444446e-05,0.001656877777777778,0.0001377825,0.0055113,,,,,,,,,,
9,3.4506042189896107,364.451446,100.0,17681.25,32760.0,192.688,133973.0,3.721472222222222e-05,0.0014885888888888888,0.00017499722222222224,0.006999888888888889,,,,,,,,,,
11,4.182415513321757,364.931794,88.0,17681.25,32760.0,193.183,135835.0,3.7731944444444446e-05,0.0015092777777777778,0.00021272916666666668,0.008509166666666667,,,,,,,,,,
13,4.918329944834113,364.599959,84.0,17681.25,32760.0,192.854,150661.0,4.185027777777778e-05,0.0016740111111111112,0.00025457944444444447,0.010183177777777778,,,,,,,,,,
15,5.650548784062266,364.237233,100.0,17681.25,32760.0,193.013,134028.0,3.723e-05,0.0014892,0.0002918094444444445,0.011672377777777777,,,,,,,,,,
17,6.38304128870368,364.929525,88.0,17681.25,32760.0,193.135,135295.0,3.758194444444444e-05,0.0015032777777777776,0.0003293913888888889,0.013175655555555554,,,,,,,,,,
19,7.118398431688547,366.048954,83.0,17681.25,32760.0,192.736,150601.0,4.1833611111111114e-05,0.0016733444444444446,0.00037122500000000004,0.014849,,,,,,,,,,
21,7.849923679605126,364.256993,100.0,17681.25,32760.0,192.584,133774.0,3.7159444444444444e-05,0.0014863777777777778,0.0004083844444444445,0.016335377777777778,,,,,,,,,,
