step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7736153695732355,768.781793,297.323622,369.81502,101.493679,-1e-06,12.075100898742676
2,1.4013250675052404,626.928464,178.270785,352.06213,95.769698,-1e-06,12.076620101928711
3,2.0291504161432385,627.057217,178.292615,352.14412,95.869819,-1e-06,12.05933952331543
4,2.6563549553975463,626.261975,178.075272,352.130011,95.246849,-1e-06,12.078728675842285
5,3.2830667765811086,625.929309,178.275775,351.669923,95.213019,-1e-06,12.09592056274414
6,3.9107780829072,626.926194,178.301295,352.281412,95.573994,-1e-06,12.090981483459473
7,4.538066264241934,626.466678,178.095982,352.378674,95.217959,-1e-06,12.092732429504395
8,5.165705270133913,626.64509,178.513878,352.12818,95.242439,-1e-06,12.110450744628906
9,5.793230164796114,626.61395,178.344226,352.430655,95.054266,-1e-06,12.08759880065918
10,6.421180275268853,627.129598,178.328486,352.360144,95.446232,-1e-06,12.183874130249023
11,7.050031150691211,627.91713,178.492968,353.109876,95.505274,-1e-06,12.152182579040527
12,7.676855534315109,626.079152,178.417088,351.790745,95.088717,-1e-06,12.207720756530762
13,8.304838195443153,627.171999,178.544429,352.455274,95.365652,-1e-06,12.215131759643555
14,8.932396929711103,626.743801,178.306076,352.12133,95.516524,-1e-06,12.242480278015137
15,9.559431686066091,626.049681,178.356197,351.763175,95.152008,-1e-06,12.27371597290039
16,10.187203484587371,626.947795,178.502529,352.331933,95.349151,-1e-06,12.251553535461426
17,10.8144869254902,626.439798,178.455808,352.124191,95.095997,-1e-06,12.286739349365234
18,11.441006963141263,625.717906,178.456708,351.599521,94.888554,-1e-06,12.280794143676758
19,12.069393151439726,627.572265,178.249265,352.800331,95.751578,-1e-06,12.357786178588867
20,12.696058521047235,625.858467,178.480838,351.704163,94.898484,-1e-06,12.437698364257812
21,13.32391545176506,627.039897,178.648671,352.0835,95.504423,-1e-06,12.496322631835938
22,13.951893572695553,627.201519,178.333386,352.325503,95.753128,-1e-06,12.534157752990723
23,14.579403975978494,626.544279,178.61052,351.782785,95.395881,-1e-06,12.551522254943848
24,15.207573271356523,627.353392,178.606601,352.573456,95.329921,-1e-06,12.581538200378418
25,15.835645634680986,627.171959,178.647091,351.955427,95.808109,-1e-06,12.62104320526123
26,16.46362289506942,627.152308,178.803664,352.14786,95.230259,-1e-06,12.635537147521973
27,17.091601686552167,627.068076,178.641901,351.957138,95.691446,-1e-06,12.647753715515137
28,17.719183982349932,626.766093,178.656761,352.144461,95.186598,-1e-06,12.721768379211426
29,18.347399657592177,627.405352,178.651051,352.804021,95.189098,-1e-06,12.727106094360352
30,18.9755148999393,627.29868,178.814604,352.68877,95.005775,-1e-06,12.781280517578125
31,19.604351966641843,628.034083,178.957816,352.427985,95.879149,-1e-06,12.780165672302246
32,20.232104552909732,626.976055,178.883235,352.273833,95.047776,-1e-06,12.853509902954102
33,20.859795060008764,626.738991,178.808333,351.888866,95.276389,-1e-06,12.871981620788574
34,21.487606479786336,626.997356,178.562369,352.402595,95.254319,-1e-06,12.865396499633789
35,22.1152470856905,626.796642,178.852774,351.969468,95.213839,-1e-06,12.884931564331055
36,22.743659674189985,627.594136,178.896455,352.209621,95.695106,-1e-06,12.962082862854004
37,23.371683955192566,627.195288,178.833584,352.312143,95.29339,-1e-06,12.935386657714844
38,23.99989000055939,627.382882,178.934616,352.001937,95.633325,-1e-06,12.957959175109863
39,24.627988054417074,627.145579,178.858115,352.14961,95.388752,-1e-06,12.981391906738281
40,25.255352064967155,626.541389,178.802523,351.852186,95.102787,-1e-06,12.977103233337402
41,25.884144570678473,627.87849,178.996507,352.518146,95.593435,-1e-06,12.977608680725098
42,26.511556692421436,626.63734,178.802384,352.014698,95.048156,-1e-06,12.960963249206543
43,27.140844523906708,628.484699,179.79936,352.186801,95.621105,-1e-06,12.955047607421875
44,27.768510770983994,626.742662,178.842764,352.198181,94.899473,-1e-06,12.96444320678711
45,28.396209138445556,626.869524,178.958326,351.979558,95.162578,-1e-06,12.986559867858887
46,29.024191919714212,627.142148,178.856124,352.396105,95.122767,-1e-06,12.938315391540527
47,29.652320803143084,627.29499,178.882364,352.202172,95.454402,-1e-06,12.996991157531738
48,30.281951391138136,628.794664,179.186949,353.465811,95.346861,-1e-06,12.989157676696777
49,30.910160725936294,627.343172,178.720553,352.504107,95.365561,-1e-06,12.98063850402832
50,31.53830005042255,627.317871,179.091518,352.415515,95.036696,-1e-06,12.987160682678223
51,32.167053054086864,627.802039,178.943616,352.587287,95.496153,-1e-06,13.011274337768555
52,32.794898943044245,627.080237,179.028047,352.079149,95.200299,-1e-06,12.970198631286621
53,33.42346665356308,627.765607,178.923195,352.716969,95.378662,-1e-06,12.994671821594238
54,34.05128612276167,627.011086,179.049248,352.11191,95.078896,-1e-06,12.978665351867676
55,34.680071777664125,627.949831,179.166389,352.74321,95.29004,-1e-06,12.964113235473633
56,35.30796341691166,627.082447,178.994046,352.14748,95.171578,-1e-06,12.979584693908691
57,35.93649459723383,627.694277,179.167899,352.360514,95.419452,-1e-06,12.977590560913086
58,36.56513654906303,627.842039,179.024777,352.754611,95.29781,-1e-06,12.955927848815918
59,37.19374363031238,627.787608,179.336172,352.252422,95.459643,-1e-06,12.997139930725098
60,37.82247394416481,627.923471,179.239601,352.841602,95.089727,-1e-06,12.956122398376465
61,38.45161584299058,628.324077,179.283381,352.481656,95.754777,-1e-06,12.97078800201416
62,39.08056613057852,628.066223,179.528246,352.589967,95.177468,-1e-06,12.99284839630127
