elapsed_sec,gpu_util_mean,gpu_util_std,gpu_mem_used_mean,gpu_mem_used_std,proc_cpu_percent_mean,proc_cpu_percent_std
0.0,67.5,7.399324293474371,9555.25,795.0113206741147,102.89999999999999,2.7874719729532687
1.0,82.16666666666667,5.204164998665331,11391.25,0.0,100.53333333333333,1.3868429375143165
2.0,83.16666666666667,4.856267428111155,11391.25,0.0,100.5,0.3464101615137763
3.0,83.33333333333333,4.725815626252608,11391.25,0.0,99.75,0.3500000000000045
4.0,85.83333333333333,3.6170890690351176,11391.25,0.0,100.35,0.61441028637222
5.0,84.16666666666667,3.3291640592396967,11391.25,0.0,100.88333333333333,1.077419757259597
6.0,82.16666666666667,2.0207259421636903,11391.25,0.0,99.66666666666667,0.0577350269189675
7.0,83.66666666666667,3.2145502536643185,11391.25,0.0,99.23333333333333,0.7234178138070197
8.0,83.33333333333333,1.1547005383792515,11391.25,0.0,100.76666666666667,0.4163331998932268
9.0,83.16666666666667,4.536885862938733,11391.25,0.0,99.43333333333334,0.9073771725877408
10.0,83.66666666666667,4.932882862316247,11391.25,0.0,100.4,0.6557438524301985
11.0,83.5,4.5,11391.25,0.0,99.85000000000001,0.30413812651491007
12.0,83.83333333333333,2.0207259421636903,11391.25,0.0,100.06666666666666,0.6429100507328647
13.0,84.0,0.0,11391.25,0.0,100.16666666666667,0.8082903768654711
14.0,82.66666666666667,1.5275252316519468,11391.25,0.0,100.71666666666667,0.4907477288111786
15.0,82.5,3.122498999199199,11391.25,0.0,99.8,0.29999999999999716
16.0,85.0,6.244997998398398,11391.25,0.0,99.8,0.10000000000000142
17.0,83.16666666666667,2.254624876411447,11391.25,0.0,100.26666666666667,0.40414518843273967
18.0,83.5,1.5,11391.25,0.0,99.36666666666666,0.7505553499465119
19.0,82.66666666666667,1.5275252316519468,11391.25,0.0,100.63333333333334,0.7371114795832031
20.0,82.16666666666667,2.8431203515386634,11391.25,0.0,100.43333333333334,0.07637626158260075
21.0,84.33333333333333,4.725815626252608,11391.25,0.0,99.4,0.4358898943540719
22.0,82.16666666666667,0.28867513459481287,11391.25,0.0,100.11666666666667,0.3685557397916002
23.0,83.16666666666667,2.0207259421636903,11391.25,0.0,100.25,0.8261355820929174
24.0,81.0,3.605551275463989,11391.25,0.0,100.23333333333333,0.757187779440031
25.0,84.83333333333333,2.8431203515386634,11391.25,0.0,100.35,0.6614378277661477
26.0,83.66666666666667,6.027713773341708,11391.25,0.0,100.11666666666667,0.3883726732577089
27.0,83.16666666666667,2.8431203515386634,11391.25,0.0,99.88333333333333,1.4002975874196633
28.0,82.16666666666667,1.2583057392117916,11391.25,0.0,99.78333333333333,0.5251983752196299
29.0,84.33333333333333,3.0550504633038935,11391.25,0.0,100.3,0.6928203230275444
30.0,83.33333333333333,5.033222956847166,11391.25,0.0,100.18333333333332,0.8036375634160796
31.0,80.83333333333333,3.1754264805429417,11391.25,0.0,100.38333333333334,0.7588368291888143
