step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.742087384685874,728.552124,85.0,26349.25,32760.0,125.452,125634.0,3.489833333333333e-05,0.0013959333333333332,3.489833333333333e-05,0.0013959333333333332,,,,,,,,,,
2,1.3825994338840246,633.365382,92.0,29493.25,32760.0,195.738,135637.0,3.767694444444445e-05,0.0015070777777777778,7.257527777777778e-05,0.0029030111111111112,,,,,,,,,,
3,2.022172335535288,632.792302,100.0,29493.25,32760.0,199.886,122328.0,3.398e-05,0.0013592,0.00010655527777777779,0.004262211111111112,,,,,,,,,,
4,2.6619071308523417,632.756441,100.0,29493.25,32760.0,201.86,119100.0,3.3083333333333336e-05,0.0013233333333333335,0.00013963861111111113,0.005585544444444445,,,,,,,,,,
5,3.30119120888412,632.413455,85.0,29493.25,32760.0,198.843,138545.0,3.8484722222222226e-05,0.001539388888888889,0.00017812333333333335,0.007124933333333334,,,,,,,,,,
6,3.9397026915103197,631.57025,88.0,29493.25,32760.0,201.669,120663.0,3.35175e-05,0.0013407,0.00021164083333333336,0.008465633333333333,,,,,,,,,,
7,4.574591711163521,632.717401,90.0,29493.25,32760.0,204.172,119356.0,3.3154444444444445e-05,0.0013261777777777777,0.0002447952777777778,0.00979181111111111,,,,,,,,,,
8,5.210326856002212,633.390063,100.0,29493.25,32760.0,200.609,137767.0,3.826861111111111e-05,0.0015307444444444445,0.0002830638888888889,0.011322555555555554,,,,,,,,,,
9,5.845303187146783,632.801722,100.0,29493.25,32760.0,203.142,119693.0,3.3248055555555555e-05,0.0013299222222222223,0.0003163119444444444,0.012652477777777777,,,,,,,,,,
10,6.479941140860319,631.638451,100.0,29493.25,32760.0,199.128,137497.0,3.819361111111111e-05,0.0015277444444444443,0.0003545055555555555,0.01418022222222222,,,,,,,,,,
11,7.1203268971294165,632.577698,88.0,29493.25,32760.0,201.154,122134.0,3.392611111111111e-05,0.0013570444444444443,0.00038843166666666665,0.015537266666666666,,,,,,,,,,
12,7.759689666330814,632.211491,88.0,29493.25,32760.0,202.592,119871.0,3.32975e-05,0.0013319,0.00042172916666666666,0.016869166666666664,,,,,,,,,,
