step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.37145817652344704,355.937351,72.0,8637.25,32760.0,54.31,37034.0,1.0287222222222222e-05,0.0004114888888888889,1.0287222222222222e-05,0.0004114888888888889,,,,,,,,,,
4,1.1110203135758638,245.404483,83.0,11391.25,32760.0,164.194,136919.0,3.803305555555556e-05,0.0015213222222222223,4.832027777777778e-05,0.0019328111111111112,,,,,,,,,,
7,1.8507111929357052,245.293691,85.0,11391.25,32760.0,175.891,123279.0,3.4244166666666666e-05,0.0013697666666666667,8.256444444444444e-05,0.003302577777777778,,,,,,,,,,
10,2.5908254589885473,244.878564,81.0,11391.25,32760.0,177.209,126230.0,3.5063888888888886e-05,0.0014025555555555553,0.00011762833333333333,0.004705133333333333,,,,,,,,,,
13,3.328429812565446,244.115361,88.0,11391.25,32760.0,176.269,140781.0,3.9105833333333334e-05,0.0015642333333333333,0.00015673416666666667,0.0062693666666666665,,,,,,,,,,
16,4.06663484685123,245.046437,81.0,11391.25,32760.0,178.242,120114.0,3.3365e-05,0.0013346,0.00019009916666666668,0.0076039666666666665,,,,,,,,,,
19,4.805510461330414,245.486175,85.0,11391.25,32760.0,172.6,139197.0,3.866583333333333e-05,0.0015466333333333333,0.00022876500000000002,0.0091506,,,,,,,,,,
22,5.54435065574944,245.610907,88.0,11391.25,32760.0,175.548,124439.0,3.4566388888888886e-05,0.0013826555555555555,0.0002633313888888889,0.010533255555555555,,,,,,,,,,
25,6.282452559098601,245.599507,79.0,11391.25,32760.0,176.592,125654.0,3.490388888888889e-05,0.0013961555555555556,0.0002982352777777778,0.01192941111111111,,,,,,,,,,
28,7.021914655342698,246.024955,90.0,11391.25,32760.0,173.834,137415.0,3.817083333333333e-05,0.0015268333333333332,0.0003364061111111112,0.013456244444444444,,,,,,,,,,
31,7.760727507993579,245.235611,83.0,11391.25,32760.0,176.215,121164.0,3.3656666666666666e-05,0.0013462666666666666,0.00037006277777777783,0.01480251111111111,,,,,,,,,,
34,8.502555575221777,245.012707,82.0,11391.25,32760.0,172.623,140202.0,3.8945e-05,0.0015578,0.0004090077777777778,0.016360311111111112,,,,,,,,,,
37,9.24390053190291,245.464395,86.0,11391.25,32760.0,175.358,124809.0,3.466916666666667e-05,0.0013867666666666667,0.00044367694444444447,0.01774707777777778,,,,,,,,,,
40,9.981091829016805,245.154979,79.0,11391.25,32760.0,176.634,125764.0,3.4934444444444444e-05,0.0013973777777777777,0.0004786113888888889,0.019144455555555558,,,,,,,,,,
43,10.720143826678395,245.118738,86.0,11391.25,32760.0,173.776,137285.0,3.8134722222222224e-05,0.001525388888888889,0.0005167461111111111,0.020669844444444446,,,,,,,,,,
46,11.458459371700883,244.844943,82.0,11391.25,32760.0,176.246,121442.0,3.373388888888889e-05,0.0013493555555555556,0.00055048,0.022019200000000003,,,,,,,,,,
49,12.19822365231812,245.405544,84.0,11391.25,32760.0,172.749,140383.0,3.899527777777778e-05,0.0015598111111111111,0.0005894752777777778,0.023579011111111114,,,,,,,,,,
52,12.93855146318674,245.360322,89.0,11391.25,32760.0,174.958,125106.0,3.475166666666667e-05,0.0013900666666666667,0.0006242269444444445,0.02496907777777778,,,,,,,,,,
55,13.678784182295203,244.927705,79.0,11391.25,32760.0,176.238,125340.0,3.481666666666667e-05,0.0013926666666666666,0.0006590436111111111,0.026361744444444446,,,,,,,,,,
58,14.417176447808743,245.751799,89.0,11391.25,32760.0,173.7,137556.0,3.821e-05,0.0015284,0.0006972536111111112,0.027890144444444445,,,,,,,,,,
61,15.157418636605144,245.24809,83.0,11391.25,32760.0,175.79,121243.0,3.367861111111111e-05,0.0013471444444444443,0.0007309322222222223,0.02923728888888889,,,,,,,,,,
64,15.89655326679349,245.140409,81.0,11391.25,32760.0,172.693,140429.0,3.9008055555555554e-05,0.0015603222222222222,0.0007699402777777779,0.030797611111111112,,,,,,,,,,
67,16.637509597465396,244.749122,87.0,11391.25,32760.0,175.07,124996.0,3.472111111111111e-05,0.0013888444444444445,0.000804661388888889,0.032186455555555556,,,,,,,,,,
70,17.37780622765422,245.185329,79.0,11391.25,32760.0,176.315,125285.0,3.4801388888888886e-05,0.0013920555555555555,0.0008394627777777779,0.03357851111111111,,,,,,,,,,
73,18.115716826170683,244.944925,86.0,11391.25,32760.0,174.052,138204.0,3.839e-05,0.0015355999999999998,0.0008778527777777779,0.03511411111111111,,,,,,,,,,
76,18.857002142816782,245.320852,82.0,11391.25,32760.0,176.282,121262.0,3.368388888888889e-05,0.0013473555555555555,0.0009115366666666668,0.036461466666666664,,,,,,,,,,
79,19.595268666744232,244.585479,84.0,11391.25,32760.0,172.72,140306.0,3.897388888888889e-05,0.0015589555555555554,0.0009505105555555557,0.03802042222222222,,,,,,,,,,
82,20.335833441466093,244.797073,88.0,11391.25,32760.0,174.14,124601.0,3.461138888888889e-05,0.0013844555555555557,0.0009851219444444446,0.03940487777777777,,,,,,,,,,
85,21.075521221384406,245.310252,79.0,11391.25,32760.0,175.624,124632.0,3.462e-05,0.0013847999999999998,0.0010197419444444445,0.04078967777777777,,,,,,,,,,
88,21.815509036183357,245.247671,89.0,11391.25,32760.0,173.107,137029.0,3.806361111111111e-05,0.0015225444444444444,0.0010578055555555555,0.042312222222222216,,,,,,,,,,
91,22.55551940947771,245.346742,83.0,11391.25,32760.0,176.033,121492.0,3.374777777777778e-05,0.001349911111111111,0.0010915533333333333,0.043662133333333325,,,,,,,,,,
94,23.29407355003059,245.297722,80.0,11391.25,32760.0,173.379,141097.0,3.919361111111111e-05,0.0015677444444444446,0.0011307469444444443,0.04522987777777777,,,,,,,,,,
97,24.03587436489761,245.687058,87.0,11391.25,32760.0,175.426,125279.0,3.479972222222222e-05,0.001391988888888889,0.0011655466666666665,0.04662186666666666,,,,,,,,,,
100,24.774299653247,244.831354,79.0,11391.25,32760.0,176.885,125674.0,3.4909444444444444e-05,0.0013963777777777778,0.001200456111111111,0.048018244444444434,,,,,,,,,,
