step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.39434700086712837,366.701427,37.0,8637.25,32760.0,54.171,39423.0,1.0950833333333334e-05,0.0004380333333333334,1.0950833333333334e-05,0.0004380333333333334,5070.90673828125,7848.0,15311.203125,515475.12890625,0.6,2299.625,21942.609375,104.0,,
3,0.8945803679525852,246.436486,81.0,11391.25,32760.0,132.966,85577.0,2.377138888888889e-05,0.0009508555555555556,3.472222222222222e-05,0.001388888888888889,5071.78173828125,10602.0,15311.66796875,515475.12890625,0.5,2300.44921875,24758.609375,98.0,,
6,1.6382802873849869,245.880286,88.0,11391.25,32760.0,172.424,138350.0,3.8430555555555555e-05,0.0015372222222222222,7.315277777777778e-05,0.002926111111111111,5071.78173828125,10602.0,15311.9140625,515475.12890625,0.5,2300.5,24758.609375,100.9,,
9,2.3845888040959835,246.350824,79.0,11391.25,32760.0,174.998,122800.0,3.411111111111111e-05,0.0013644444444444444,0.00010726388888888889,0.004290555555555555,5071.78173828125,10602.0,15311.9140625,515475.12890625,0.5,2300.5,24758.609375,100.3,,
12,3.1288018338382244,246.241453,90.0,11391.25,32760.0,172.49,136684.0,3.7967777777777775e-05,0.001518711111111111,0.00014523166666666667,0.005809266666666667,5071.78173828125,10602.0,15311.91015625,515475.12890625,0.5,2300.6171875,24758.609375,99.6,,
15,3.873480051755905,246.086739,80.0,11391.25,32760.0,174.86,119236.0,3.312111111111111e-05,0.0013248444444444445,0.0001783527777777778,0.007134111111111111,5071.78173828125,10602.0,15311.9375,515475.12890625,0.5,2300.67578125,24758.609375,100.7,,
18,4.6172798946499825,245.327905,84.0,11391.25,32760.0,171.903,135851.0,3.773638888888889e-05,0.0015094555555555556,0.00021608916666666667,0.008643566666666666,5071.78173828125,10602.0,15311.9296875,515475.12890625,0.5,2300.72265625,24758.609375,100.8,,
21,5.360891865566373,245.382957,82.0,11391.25,32760.0,176.297,121877.0,3.3854722222222224e-05,0.001354188888888889,0.0002499438888888889,0.009997755555555555,5071.78173828125,10602.0,15311.9140625,515475.12890625,0.5,2300.76953125,24758.609375,99.0,,
23,5.864076042547822,246.627289,82.0,11391.25,32760.0,175.328,85289.0,2.369138888888889e-05,0.0009476555555555556,0.00027363527777777777,0.01094541111111111,5071.78173828125,10602.0,15311.90625,515475.12890625,0.5,2300.81640625,24758.609375,102.0,,
26,6.607513468712568,246.838763,81.0,11391.25,32760.0,171.443,138969.0,3.86025e-05,0.0015441,0.00031223777777777777,0.01248951111111111,5071.78173828125,10602.0,15311.90625,515475.12890625,0.5,2300.86328125,24758.609375,99.6,,
29,7.348968962207437,246.001767,86.0,11391.25,32760.0,174.222,123489.0,3.43025e-05,0.0013721,0.0003465402777777778,0.01386161111111111,5071.78173828125,10602.0,15311.90625,515475.12890625,0.5,2300.8671875,24758.609375,98.4,,
32,8.090818831697106,245.679163,80.0,11391.25,32760.0,175.954,125802.0,3.4945e-05,0.0013977999999999998,0.00038148527777777776,0.015259411111111109,5071.78173828125,10602.0,15312.15234375,515475.12890625,0.5,2300.8984375,24759.609375,101.1,,
35,8.832837464287877,245.814894,88.0,11391.25,32760.0,173.698,138551.0,3.848638888888889e-05,0.0015394555555555555,0.00041997166666666664,0.016798866666666665,5071.78173828125,10602.0,15312.15234375,515475.12890625,0.6,2300.953125,24759.609375,101.1,,
38,9.57441359758377,245.681752,79.0,11391.25,32760.0,175.925,120591.0,3.34975e-05,0.0013399000000000002,0.00045346916666666665,0.018138766666666667,5071.78173828125,10602.0,15312.15234375,515475.12890625,0.5,2301.0390625,24759.609375,98.4,,
41,10.31892023421824,246.935754,87.0,11391.25,32760.0,171.883,135757.0,3.771027777777778e-05,0.001508411111111111,0.0004911794444444445,0.019647177777777778,5071.78173828125,10602.0,15312.140625,515475.12890625,0.5,2301.1015625,24759.609375,100.1,,
43,10.818974437192082,245.612152,85.0,11391.25,32760.0,171.965,85365.0,2.37125e-05,0.0009485,0.0005148919444444445,0.02059567777777778,5071.78173828125,10602.0,15312.140625,515475.12890625,0.5,2301.15234375,24759.609375,101.9,,
45,11.319774653762579,246.17119,88.0,11391.25,32760.0,172.39,85353.0,2.3709166666666667e-05,0.0009483666666666667,0.0005386011111111112,0.021544044444444445,5071.78173828125,10602.0,15312.375,515475.12890625,0.5,2301.15234375,24759.609375,100.2,,
48,12.065792545676231,247.160168,81.0,11391.25,32760.0,175.06,120534.0,3.348166666666667e-05,0.0013392666666666667,0.0005720827777777779,0.02288331111111111,5071.78173828125,10602.0,15312.375,515475.12890625,0.5,2301.21875,24759.609375,99.6,,
51,12.808584671467543,246.660389,82.0,11391.25,32760.0,172.239,138571.0,3.8491944444444446e-05,0.0015396777777777779,0.0006105747222222223,0.02442298888888889,5071.78173828125,10602.0,15312.375,515475.12890625,0.5,2301.2734375,24759.609375,99.6,,
54,13.550959758460522,245.813965,84.0,11391.25,32760.0,173.907,122060.0,3.3905555555555554e-05,0.0013562222222222222,0.0006444802777777778,0.02577921111111111,5071.78173828125,10602.0,15312.359375,515475.12890625,0.5,2301.31640625,24759.609375,99.7,,
57,14.293093003332615,246.12319,81.0,11391.25,32760.0,175.201,124844.0,3.467888888888889e-05,0.0013871555555555555,0.0006791591666666667,0.027166366666666664,5071.78173828125,10602.0,15312.60546875,515475.12890625,0.5,2301.3671875,24759.609375,101.0,,
60,15.03499878384173,245.346006,88.0,11391.25,32760.0,172.908,138021.0,3.833916666666667e-05,0.0015335666666666666,0.0007174983333333334,0.02869993333333333,5071.78173828125,10602.0,15312.60546875,515475.12890625,0.5,2301.375,24759.609375,99.8,,
63,15.77742587402463,245.902517,79.0,11391.25,32760.0,175.085,121943.0,3.387305555555556e-05,0.0013549222222222223,0.0007513713888888889,0.03005485555555555,5071.78173828125,10602.0,15308.17578125,515475.12890625,0.5,2301.4375,24759.609375,100.4,,
66,16.524290189146996,246.264152,90.0,11391.25,32760.0,171.722,136069.0,3.7796944444444446e-05,0.001511877777777778,0.0007891683333333333,0.03156673333333333,5071.78173828125,10602.0,15308.17578125,515475.12890625,0.5,2301.453125,24759.609375,99.7,,
69,17.265600649639964,245.653051,81.0,11391.25,32760.0,174.592,119526.0,3.3201666666666664e-05,0.0013280666666666665,0.00082237,0.0328948,5071.78173828125,10602.0,15308.17578125,515475.12890625,0.5,2301.453125,24759.609375,99.8,,
72,18.00633941963315,245.364447,82.0,11391.25,32760.0,172.222,138267.0,3.84075e-05,0.0015363,0.0008607775,0.0344311,5071.78173828125,10602.0,15308.17578125,515475.12890625,0.5,2301.5703125,24759.609375,101.3,,
75,18.748722538352013,246.776582,85.0,11391.25,32760.0,174.894,122975.0,3.415972222222222e-05,0.0013663888888888888,0.0008949372222222222,0.03579748888888889,5071.78173828125,10602.0,15308.421875,515475.12890625,0.6,2301.609375,24759.609375,98.3,,
78,19.48977859504521,245.362226,81.0,11391.25,32760.0,176.32,125707.0,3.491861111111111e-05,0.0013967444444444445,0.0009298558333333334,0.03719423333333333,5071.78173828125,10602.0,15308.421875,515475.12890625,0.5,2301.66015625,24759.609375,101.2,,
81,20.23255301080644,246.035239,88.0,11391.25,32760.0,174.317,139108.0,3.8641111111111114e-05,0.0015456444444444445,0.0009684969444444445,0.03873987777777778,5071.78173828125,10602.0,15308.421875,515475.12890625,0.5,2301.70703125,24759.609375,99.6,,
84,20.974533980712295,245.587311,78.0,11391.25,32760.0,176.524,122666.0,3.407388888888889e-05,0.0013629555555555557,0.0010025708333333335,0.04010283333333334,5071.78173828125,10602.0,15308.6640625,515475.12890625,0.6,2301.70703125,24759.609375,101.1,,
87,21.717406438663602,246.025818,88.0,11391.25,32760.0,173.036,135052.0,3.7514444444444443e-05,0.0015005777777777778,0.0010400852777777778,0.04160341111111111,5071.78173828125,10602.0,15308.91015625,515475.12890625,0.5,2301.80078125,24759.609375,99.2,,
90,22.46208711527288,246.406594,82.0,11391.25,32760.0,175.171,120425.0,3.345138888888889e-05,0.0013380555555555554,0.0010735366666666667,0.04294146666666667,5071.78173828125,10602.0,15309.15625,515475.12890625,0.5,2301.8203125,24759.609375,99.7,,
