step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7427219171077013,727.852102,253.399706,372.583919,101.712274,-1e-06,12.092621803283691
2,1.3827736228704453,631.812865,180.647128,355.199271,95.172732,-1e-06,12.059149742126465
3,2.023388409987092,632.782101,180.541106,355.718831,95.774842,-1e-06,12.063688278198242
4,2.6632052306085825,632.611718,180.683739,355.477257,95.65665,-1e-06,12.085232734680176
5,3.3062599189579487,635.720142,180.696748,358.401266,95.840083,-1e-06,12.07172679901123
6,3.9458445757627487,634.558262,180.683389,355.180801,97.904249,-1e-06,12.091991424560547
7,4.582679336890578,632.333404,180.816381,355.060099,95.70443,-1e-06,12.092058181762695
8,5.2223578579723835,632.498247,180.857711,355.261082,95.506858,-1e-06,12.101980209350586
9,5.86252935603261,632.587359,180.938793,355.250942,95.576909,-1e-06,12.174273490905762
10,6.501999801024795,632.357124,180.76967,355.097989,95.483647,-1e-06,12.184325218200684
11,7.143165646120906,632.72392,180.996364,355.202181,95.657531,-1e-06,12.202831268310547
12,7.780944082885981,631.713592,180.960603,354.786264,95.174462,-1e-06,12.205945014953613
13,8.42118870280683,632.404224,180.806761,354.954627,95.759102,-1e-06,12.251587867736816
14,9.060614747926593,631.953537,180.893102,355.004258,95.280164,-1e-06,12.265941619873047
15,9.700887588784099,632.470286,180.7453,355.277303,95.684321,-1e-06,12.269177436828613
16,10.341233968734741,632.10017,180.770901,354.946656,95.62343,-1e-06,12.28271198272705
17,10.980313397943974,632.034748,180.713759,355.12927,95.435897,-1e-06,12.430298805236816
18,11.619819734245539,631.939757,180.769109,354.989398,95.407776,-1e-06,12.51937484741211
19,12.259896302595735,632.288303,180.933603,354.907816,95.684351,-1e-06,12.54530143737793
20,12.899487610906363,631.964178,180.953283,354.990918,95.246323,-1e-06,12.552909851074219
21,13.541211035102606,633.369851,180.809621,355.65725,96.108728,-1e-06,12.62012004852295
22,14.17997470870614,632.406396,180.975333,354.681512,95.956486,-1e-06,12.620935440063477
23,14.819763399660587,632.758051,180.950463,355.045199,96.004317,-1e-06,12.717617988586426
24,15.458960661664605,632.283863,180.665918,354.534261,96.053267,-1e-06,12.797723770141602
25,16.09871120378375,632.106379,180.919783,354.607711,95.715922,-1e-06,12.876943588256836
26,16.738339530304074,631.389518,180.75534,354.304476,95.545458,-1e-06,12.89825439453125
27,17.378243865445256,631.948937,180.994414,354.426768,95.745161,-1e-06,12.937097549438477
