step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.3674642201513052,357.700793,71.0,8637.25,32760.0,56.253,43849.0,1.2180277777777778e-05,0.0004872111111111111,1.2180277777777778e-05,0.0004872111111111111,5070.90673828125,7848.0,15222.12109375,515475.12890625,0.6,2218.97265625,21834.91796875,106.1,,
4,1.1135414317250252,246.777291,79.0,11391.25,32760.0,163.691,139193.0,3.866472222222222e-05,0.001546588888888889,5.0845e-05,0.0020338,5071.78173828125,10602.0,15222.3671875,515475.12890625,0.5,2219.39453125,24650.91796875,99.9,,
6,1.6136439368128777,246.400115,82.0,11391.25,32760.0,173.626,89323.0,2.4811944444444444e-05,0.0009924777777777778,7.565694444444444e-05,0.003026277777777778,5071.78173828125,10602.0,15222.61328125,515475.12890625,0.5,2219.42578125,24650.91796875,98.1,,
8,2.116888554766774,246.511117,81.0,11391.25,32760.0,173.482,86987.0,2.4163055555555557e-05,0.0009665222222222222,9.982e-05,0.0039928,5071.78173828125,10602.0,15222.60546875,515475.12890625,0.5,2219.51953125,24650.91796875,101.8,,
10,2.6179276164621115,249.309404,83.0,11391.25,32760.0,171.83,87617.0,2.4338055555555554e-05,0.0009735222222222222,0.00012415805555555557,0.004966322222222223,5071.78173828125,10602.0,15222.8515625,515475.12890625,0.5,2219.56640625,24650.91796875,100.0,,
13,3.3616123162209988,246.826222,87.0,11391.25,32760.0,173.196,123609.0,3.433583333333333e-05,0.0013734333333333332,0.0001584938888888889,0.006339755555555556,5071.78173828125,10602.0,15222.8515625,515475.12890625,0.5,2219.6015625,24650.91796875,99.6,,
16,4.105665493756533,245.468189,79.0,11391.25,32760.0,175.831,125810.0,3.494722222222222e-05,0.0013978888888888888,0.00019344111111111112,0.007737644444444445,5071.78173828125,10602.0,15222.8515625,515475.12890625,0.5,2219.6484375,24650.91796875,100.8,,
19,4.852255765348673,246.215481,88.0,11391.25,32760.0,173.415,138733.0,3.853694444444444e-05,0.0015414777777777778,0.00023197805555555558,0.009279122222222222,5071.78173828125,10602.0,15222.8515625,515475.12890625,0.5,2219.6953125,24650.91796875,98.5,,
21,5.3530687019228935,246.995905,88.0,11391.25,32760.0,173.046,87845.0,2.4401388888888888e-05,0.0009760555555555555,0.00025637944444444446,0.010255177777777777,5071.78173828125,10602.0,15222.8515625,515475.12890625,0.5,2219.7421875,24651.91796875,102.1,,
24,6.098206056281924,245.793185,79.0,11391.25,32760.0,175.872,125358.0,3.4821666666666666e-05,0.0013928666666666667,0.00029120111111111114,0.011648044444444443,5071.78173828125,10602.0,15216.9453125,515475.12890625,0.5,2219.78125,24651.91796875,98.4,,
27,6.8410643842071295,246.258512,90.0,11391.25,32760.0,173.41,137750.0,3.826388888888889e-05,0.0015305555555555556,0.00032946500000000003,0.013178599999999999,5071.78173828125,10602.0,15216.9453125,515475.12890625,0.5,2219.78125,24651.91796875,101.0,,
30,7.583166157826781,245.588191,80.0,11391.25,32760.0,175.724,119620.0,3.3227777777777776e-05,0.001329111111111111,0.0003626927777777778,0.01450771111111111,5071.78173828125,10602.0,15216.9453125,515475.12890625,0.5,2219.87890625,24651.91796875,99.7,,
33,8.326573364436626,246.383174,84.0,11391.25,32760.0,172.376,136793.0,3.7998055555555556e-05,0.0015199222222222223,0.00040069083333333337,0.016027633333333333,5071.78173828125,10602.0,15216.9453125,515475.12890625,0.5,2219.91796875,24651.91796875,100.9,,
36,9.067525608465075,244.588634,83.0,11391.25,32760.0,176.756,123217.0,3.4226944444444445e-05,0.0013690777777777777,0.00043491777777777783,0.01739671111111111,5071.78173828125,10602.0,15216.9453125,515475.12890625,0.5,2219.94921875,24651.91796875,99.9,,
39,9.81124291010201,247.161298,82.0,11391.25,32760.0,174.258,140580.0,3.905e-05,0.001562,0.00047396777777777784,0.01895871111111111,5071.78173828125,10602.0,15216.94140625,515475.12890625,0.6,2219.98046875,24651.91796875,100.3,,
42,10.55729566141963,245.723393,87.0,11391.25,32760.0,173.724,124453.0,3.457027777777778e-05,0.001382811111111111,0.0005085380555555556,0.02034152222222222,5071.78173828125,10602.0,15216.94140625,515475.12890625,0.5,2220.05078125,24651.91796875,99.7,,
45,11.299386685714126,246.736081,79.0,11391.25,32760.0,175.827,125733.0,3.492583333333333e-05,0.0013970333333333332,0.0005434638888888889,0.021738555555555553,5071.78173828125,10602.0,15217.1875,515475.12890625,0.5,2220.09765625,24651.91796875,99.7,,
48,12.040922669693828,246.069219,90.0,11391.25,32760.0,173.54,138114.0,3.8365e-05,0.0015346000000000001,0.0005818288888888889,0.023273155555555553,5071.78173828125,10602.0,15217.40625,515475.12890625,0.7,2220.1484375,24651.91796875,99.8,,
51,12.782450094819069,245.491699,80.0,11391.25,32760.0,175.92,120069.0,3.33525e-05,0.0013341000000000002,0.0006151813888888889,0.024607255555555554,5071.78173828125,10602.0,15217.88671875,515475.12890625,0.5,2220.203125,24651.91796875,99.8,,
54,13.524139700457454,245.369778,84.0,11391.25,32760.0,172.421,136659.0,3.796083333333333e-05,0.0015184333333333332,0.0006531422222222222,0.026125688888888887,5071.78173828125,10602.0,15217.87890625,515475.12890625,0.7,2220.24609375,24651.91796875,101.1,,
57,14.266418866813183,246.172991,84.0,11391.25,32760.0,174.66,121377.0,3.371583333333333e-05,0.0013486333333333333,0.0006868580555555555,0.027474322222222222,5071.78173828125,10602.0,15217.87890625,515475.12890625,0.5,2220.24609375,24651.91796875,101.0,,
