step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.5006107334047556,486.314858,83.0,14535.25,32760.0,82.86,75423.0,2.0950833333333333e-05,0.0008380333333333333,2.0950833333333333e-05,0.0008380333333333333,5070.90673828125,13746.0,15273.046875,515475.12890625,0.6,2287.47265625,27314.48828125,105.7,,
3,1.2359557636082172,364.927284,100.0,17681.25,32760.0,186.698,135498.0,3.7638333333333335e-05,0.0015055333333333335,5.8589166666666665e-05,0.002343566666666667,5070.91455078125,16892.0,15273.265625,515475.12890625,0.5,2287.92578125,30514.48828125,100.1,,
5,1.976602017879486,364.680029,92.0,17681.25,32760.0,191.79,147886.0,4.107944444444445e-05,0.001643177777777778,9.966861111111112e-05,0.003986744444444445,5070.91455078125,16892.0,15273.26171875,515475.12890625,0.5,2287.98046875,30514.48828125,100.0,,
7,2.716809442266822,364.874752,88.0,17681.25,32760.0,191.73,134031.0,3.7230833333333336e-05,0.0014892333333333336,0.00013689944444444447,0.005475977777777779,5070.91455078125,16892.0,15273.7421875,515475.12890625,0.5,2288.02734375,30514.48828125,98.7,,
9,3.452931337058544,364.1747,95.0,17681.25,32760.0,192.157,136077.0,3.779916666666667e-05,0.0015119666666666668,0.00017469861111111114,0.006987944444444446,5070.91455078125,16892.0,15273.7421875,515475.12890625,0.5,2288.08203125,30514.48828125,101.1,,
11,4.1868655532598495,364.887853,95.0,17681.25,32760.0,192.455,148402.0,4.1222777777777777e-05,0.001648911111111111,0.00021592138888888891,0.008636855555555557,5070.91455078125,16892.0,15273.7421875,515475.12890625,0.5,2288.12890625,30514.48828125,99.4,,
13,4.920394333079457,365.220229,88.0,17681.25,32760.0,192.484,132946.0,3.692944444444444e-05,0.0014771777777777776,0.0002528508333333334,0.010114033333333335,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.18359375,30514.48828125,100.8,,
15,5.657080199569464,365.744898,94.0,17681.25,32760.0,191.76,135322.0,3.7589444444444445e-05,0.0015035777777777778,0.0002904402777777778,0.011617611111111113,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.6,2288.23046875,30514.48828125,100.2,,
17,6.391942171379924,364.530567,97.0,17681.25,32760.0,192.27,150569.0,4.1824722222222224e-05,0.001672988888888889,0.00033226500000000005,0.013290600000000003,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.23046875,30514.48828125,99.7,,
19,7.124734580516815,364.424015,88.0,17681.25,32760.0,192.509,133913.0,3.7198055555555557e-05,0.0014879222222222222,0.0003694630555555556,0.014778522222222226,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.3046875,30514.48828125,101.0,,
21,7.8569213673472404,364.509237,94.0,17681.25,32760.0,192.398,134434.0,3.734277777777778e-05,0.0014937111111111112,0.0004068058333333334,0.016272233333333337,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.37109375,30514.48828125,98.0,,
23,8.59229570068419,364.607238,97.0,17681.25,32760.0,192.431,150507.0,4.18075e-05,0.0016723,0.00044861333333333337,0.01794453333333334,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.40625,30514.48828125,100.9,,
25,9.324223291128874,364.68152,88.0,17681.25,32760.0,192.915,133962.0,3.721166666666667e-05,0.0014884666666666667,0.00048582500000000006,0.019433000000000006,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.453125,30514.48828125,101.1,,
27,10.057345606386662,365.193478,94.0,17681.25,32760.0,192.477,134475.0,3.735416666666667e-05,0.0014941666666666666,0.0005231791666666667,0.020927166666666674,5070.91455078125,16892.0,15273.98828125,515475.12890625,0.5,2288.5,30514.48828125,99.5,,
