step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.7451030723750591,728.458066,96.0,26349.25,32760.0,130.486,133788.0,3.716333333333333e-05,0.0014865333333333331,3.716333333333333e-05,0.0014865333333333331,5071.68798828125,25560.0,15229.5625,515475.12890625,0.6,2313.5859375,39053.24609375,102.0,,
2,1.3856729101389647,637.358195,100.0,29493.25,32760.0,197.919,118114.0,3.280944444444445e-05,0.001312377777777778,6.997277777777777e-05,0.002798911111111111,5071.69580078125,28704.0,15229.75390625,515475.12890625,0.5,2314.7734375,42221.24609375,99.9,,
3,2.026128213852644,637.371305,82.0,29493.25,32760.0,197.529,137596.0,3.822111111111111e-05,0.0015288444444444443,0.00010819388888888887,0.0043277555555555555,5071.69580078125,28704.0,15230.0,515475.12890625,0.5,2314.7890625,42221.24609375,100.0,,
4,2.6635432988405228,634.385487,88.0,29493.25,32760.0,200.712,120868.0,3.3574444444444444e-05,0.0013429777777777777,0.0001417683333333333,0.005670733333333333,5071.69580078125,28704.0,15230.0,515475.12890625,0.5,2314.79296875,42221.24609375,100.4,,
5,3.300132041797042,633.691855,89.0,29493.25,32760.0,203.253,119774.0,3.327055555555556e-05,0.0013308222222222223,0.00017503888888888887,0.007001555555555555,5071.69580078125,28704.0,15229.98828125,515475.12890625,0.5,2314.83984375,42221.24609375,99.0,,
6,3.9368882570415735,633.795217,99.0,29493.25,32760.0,200.909,139102.0,3.8639444444444444e-05,0.0015455777777777777,0.00021367833333333332,0.008547133333333333,5071.69580078125,28704.0,15229.98828125,515475.12890625,0.5,2314.93359375,42221.24609375,102.0,,
7,4.5742016192525625,633.513893,100.0,29493.25,32760.0,203.018,120558.0,3.3488333333333336e-05,0.0013395333333333335,0.00024716666666666664,0.009886666666666667,5071.69580078125,28704.0,15230.234375,515475.12890625,0.6,2315.015625,42221.24609375,98.5,,
8,5.213761569932103,633.539703,80.0,29493.25,32760.0,199.126,137681.0,3.824472222222222e-05,0.001529788888888889,0.0002854113888888889,0.011416455555555555,5071.69580078125,28704.0,15230.23046875,515475.12890625,0.5,2315.06640625,42221.24609375,101.5,,
9,5.8532885778695345,632.477466,88.0,29493.25,32760.0,202.029,123201.0,3.42225e-05,0.0013689,0.00031963388888888887,0.012785355555555555,5071.69580078125,28704.0,15230.4765625,515475.12890625,0.5,2315.06640625,42221.24609375,98.6,,
10,6.493438567966223,633.753727,88.0,29493.25,32760.0,203.693,120188.0,3.338555555555556e-05,0.0013354222222222223,0.00035301944444444445,0.014120777777777777,5071.69580078125,28704.0,15230.4765625,515475.12890625,0.5,2315.1640625,42221.24609375,100.1,,
11,7.1329655181616545,633.559523,98.0,29493.25,32760.0,200.569,139625.0,3.878472222222222e-05,0.0015513888888888888,0.0003918041666666667,0.015672166666666668,5071.69580078125,28704.0,15230.23046875,515475.12890625,0.5,2315.1953125,42221.24609375,100.0,,
12,7.7719223368912935,632.876253,100.0,29493.25,32760.0,202.585,120640.0,3.3511111111111114e-05,0.0013404444444444445,0.0004253152777777778,0.01701261111111111,5071.69580078125,28704.0,15230.23046875,515475.12890625,0.5,2315.203125,42221.24609375,100.1,,
13,8.411762753501534,633.054426,80.0,29493.25,32760.0,198.762,137334.0,3.8148333333333335e-05,0.0015259333333333333,0.0004634636111111111,0.018538544444444444,5071.69580078125,28704.0,15230.23046875,515475.12890625,0.5,2315.25,42222.24609375,99.8,,
